phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
1 · Chia phần giữ A,16.6749,5.9488,0.0000,235.7378,1.3754,1
1 · Chia phần giữ A,266.5983,5.8966,5.3132,0.0000,0.0000,1
1 · Chia phần giữ A,32.4388,5.8283,1.3676,0.0000,0.0000,1
1 · Chia phần giữ A,17.4305,5.8714,0.7184,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.0558,0.7128,0.0000,0.0000,1
1 · Chia phần giữ A,16.6905,5.9909,0.7159,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.0051,0.7177,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,5.7297,0.7060,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,5.6235,0.7195,0.0000,0.0000,1
1 · Chia phần giữ A,16.7074,6.1159,0.7103,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.0611,0.7052,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,5.9548,0.7169,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.0731,0.8448,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.0942,0.7785,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.2424,0.7334,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.0545,0.7103,0.0000,0.0000,1
1 · Chia phần giữ A,16.6661,5.9783,0.7207,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.3425,0.7385,0.0000,0.0000,1
1 · Chia phần giữ A,16.6682,6.4547,0.7184,0.0000,0.0000,1
1 · Chia phần giữ A,16.6658,6.3523,0.7593,0.0000,0.0000,1
1 · Chia phần giữ A,16.6678,6.5412,0.7571,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.4868,0.7336,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.5174,0.7773,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.4856,0.7429,0.0000,0.0000,1
1 · Chia phần giữ A,16.6695,6.3966,0.7552,0.0000,0.0000,1
1 · Chia phần giữ A,16.6645,6.3683,0.7774,0.0000,0.0000,1
1 · Chia phần giữ A,16.6689,6.2641,0.7684,0.0000,0.0000,1
1 · Chia phần giữ A,16.6643,6.5237,0.8163,0.0000,0.0000,1
1 · Chia phần giữ A,16.6679,6.3394,0.9240,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.1928,0.8442,0.0000,0.0000,1
1 · Chia phần giữ A,16.6654,6.3024,0.7312,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.2648,0.7338,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.2898,0.7779,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,6.2952,0.7218,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.4795,0.7427,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.3887,0.7222,0.0000,0.0000,1
1 · Chia phần giữ A,16.6675,6.2858,0.7308,0.0000,0.0000,1
1 · Chia phần giữ A,16.6659,6.4066,0.7261,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.4432,0.7305,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.3535,0.7125,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.3703,0.7545,0.0000,0.0000,1
