phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
"1 · Chia phần giữ A",16.6850,5.6025,0.0000,0.0000,1.3786,1
"1 · Chia phần giữ A",31.8979,6.3379,2.4081,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6899,5.8983,0.7054,0.0000,0.0000,1
"1 · Chia phần giữ A",16.9838,6.0404,0.7493,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,6.0220,0.7033,0.0000,0.0000,1
"1 · Chia phần giữ A",16.8934,6.0185,0.7569,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6652,6.2639,0.7282,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,6.0043,0.7407,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6672,6.0461,0.8767,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6685,6.0458,0.7914,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6644,6.2332,0.7513,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6661,6.3108,0.7461,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6672,6.1787,0.7550,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,6.1676,0.7369,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,6.2417,0.7239,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6807,6.3698,0.7401,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,6.2270,0.7558,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,6.0662,0.9156,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,6.2301,0.8250,0.0000,0.0000,1
"1 · Chia phần giữ A",17.5602,6.0754,0.7982,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7808,6.1765,0.9293,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7189,6.1842,0.7703,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7361,6.0873,0.7555,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7226,6.1391,0.8258,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7428,5.9865,0.8335,0.0000,0.0000,1
